pointID,visit,date,temp,cloud,species,distance,abundance
w10,1,114,79,0,spring peeper,5,1
w10,1,114,79,0,western chorus frog,7,1
w10,1,114,79,0,green frog,10,2
w10,1,114,79,0,american bullfrog,35,2
w09,1,114,79,0,spring peeper,10,2
w09,1,114,79,0,northern leopard frog,10,1
w09,1,114,79,0,pickerel frog,40,1
w09,1,114,79,0,green frog,10,4
w09,1,114,79,0,american bullfrog,20,3
w08,1,114,79,0,spring peeper,5,3
w08,1,114,79,0,western chorus frog,5,1
w08,1,114,79,0,northern leopard frog,5,1
w08,1,114,79,0,green frog,10,2
w08,1,114,79,0,american bullfrog,45,2
w07,1,114,79,0,gray tree frog,20,2
w07,1,114,79,0,spring peeper,15,2
w07,1,114,79,0,green frog,20,4
w06,1,114,79,0,spring peeper,5,2
w06,1,114,79,0,western chorus frog,15,1
w06,1,114,79,0,green frog,50,3
w06,1,114,79,0,american toad,30,3
w05,1,114,79,0,spring peeper,15,4
w05,1,114,79,0,western chorus frog,5,2
w05,1,114,79,0,fowler's toad,40,1
w05,1,114,79,0,green frog,150,4
w05,1,114,79,0,american toad,75,3
w05,1,114,79,0,american bullfrog,200,1
w04,1,114,79,0,spring peeper,10,2
w04,1,114,79,0,western chorus frog,0,2
w04,1,114,79,0,green frog,35,4
w03,1,114,79,0,spring peeper,5,3
w03,1,114,79,0,western chorus frog,10,3
w03,1,114,79,0,green frog,30,3
w03,1,114,79,0,american bullfrog,175,1
w02,1,114,79,0,spring peeper,5,4
w02,1,114,79,0,western chorus frog,5,2
w02,1,114,79,0,green frog,60,3
w02,1,114,79,0,american bullfrog,120,1
w01,1,114,79,0,spring peeper,15,1
w01,1,114,79,0,green frog,0,2
w01,1,114,79,0,american bullfrog,40,2
center,1,114,79,0,spring peeper,15,1
center,1,114,79,0,green frog,75,1
e10,1,121,73,0,northern leopard frog,5,1
e10,1,121,73,0,fowler's toad,15,1
e10,1,121,73,0,pickerel frog,60,2
e10,1,121,73,0,green frog,20,4
e10,1,121,73,0,american toad,65,1
e10,1,121,73,0,american bullfrog,40,2
e09,1,121,73,0,western chorus frog,5,1
e09,1,121,73,0,northern leopard frog,5,1
e09,1,121,73,0,fowler's toad,10,2
e09,1,121,73,0,green frog,65,3
e09,1,121,73,0,american bullfrog,55,1
e08,1,121,73,0,northern leopard frog,5,1
